id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,icao_code,iata_code,gps_code,local_code
2070,DAON,large_airport,Zenata â€“ Messali El Hadj Airport,35.012732,-1.457117,814,AF,DZ,DZ-13,Zenata,yes,DAON,TLM,DAON,
2071,DAOO,large_airport,Oran Es-SÃ©nia (Ahmed Ben Bella) International Airport,35.620648,-0.622486,295,AF,DZ,DZ-31,Es-SÃ©nia,yes,DAOO,ORN,DAOO,
2072,DAOR,medium_airport,BÃ©char Boudghene Ben Ali Lotfi Airport,31.64570045,-2.269860029,2661,AF,DZ,DZ-08,BÃ©char,yes,DAOR,CBH,DAOR,
2074,DAOV,medium_airport,Ghriss Airport,35.207699,0.147142,1686,AF,DZ,DZ-29,Ghriss,no,DAOV,MUW,DAOV,
30777,DATM,medium_airport,Bordj Badji Mokhtar Airport,21.3778,0.92698,1303,AF,DZ,DZ-52,Bordj Badji Mokhtar,yes,DATM,BMW,DATM,
2075,DAUA,medium_airport,Touat-Cheikh Sidi Mohamed Belkebir Airport,27.837601,-0.186414,919,AF,DZ,DZ-01,Adrar,yes,DAUA,AZR,DAUA,
2076,DAUB,large_airport,Biskra - Mohamed Khider Airport,34.79318,5.738899,289,AF,DZ,DZ-07,Biskra,yes,DAUB,BSK,DAUB,
2077,DAUE,medium_airport,El Golea Airport,30.580732,2.861595,1306,AF,DZ,DZ-50,El Menia,yes,DAUE,ELG,DAUE,
2078,DAUG,medium_airport,NoumÃ©rat - Moufdi Zakaria Airport,32.384102,3.79411,1512,AF,DZ,DZ-47,El Atteuf,yes,DAUG,GHA,DAUG,
2079,DAUH,medium_airport,Hassi Messaoud-Oued Irara Krim Belkacem Airport,31.673,6.14044,463,AF,DZ,DZ-30,Hassi Messaoud,yes,DAUH,HME,DAUH,
2080,DAUI,medium_airport,In Salah Airport,27.250999,2.51202,896,AF,DZ,DZ-57,In Salah,yes,DAUI,INZ,DAUI,
2081,DAUK,medium_airport,Touggourt Sidi Madhi Airport,33.067799,6.08867,279,AF,DZ,DZ-55,Touggourt,yes,DAUK,TGR,DAUK,
2082,DAUL,medium_airport,Laghouat - Molay Ahmed Medeghri Airport,33.7644,2.92834,2510,AF,DZ,DZ-03,Laghouat,no,DAUL,LOO,DAUL,
2083,DAUO,medium_airport,Guemar Airport - Ù…Ø·Ø§Ø± Ù‚Ù…Ø§Ø± Ø¨Ø§Ù„ÙˆØ§Ø¯ÙŠ,33.511398,6.77679,203,AF,DZ,DZ-39,Guemar,yes,DAUO,ELU,DAUO,
2084,DAUT,medium_airport,Timimoun Airport,29.237101,0.276033,1027,AF,DZ,DZ-54,Timimoun,yes,DAUT,TMX,DAUT,
2085,DAUU,medium_airport,Ain Beida Airport,31.9172,5.41278,492,AF,DZ,DZ-30,Ouargla,yes,DAUU,OGX,DAUU,
2086,DAUZ,medium_airport,Zarzaitine - In AmÃ©nas Airport,28.0515,9.64291,1847,AF,DZ,DZ-33,In AmÃ©nas,yes,DAUZ,IAM,DAUZ,
2087,DBBB,large_airport,Cotonou Cadjehoun International Airport,6.35723,2.38435,19,AF,BJ,BJ-AQ,Cotonou,yes,DBBB,COO,DBBB,
2088,DFFD,large_airport,Ouagadougou Thomas Sankara International Airport,12.3532,-1.51242,1037,AF,BF,BF-KAD,Ouagadougou,yes,DFFD,OUA,DFFD,
2089,DFOO,large_airport,Bobo Dioulasso Airport,11.1601,-4.33097,1511,AF,BF,BF-HOU,Bobo Dioulasso,yes,DFOO,BOY,DFOO,
2090,DGAA,large_airport,Kotoka International Airport,5.6051898,-0.166786,205,AF,GH,GH-AA,Accra,yes,DGAA,ACC,DGAA,
2091,DGLE,large_airport,Yakubu Tali International Airport,9.553909,-0.86606,553,AF,GH,GH-NP,Tamale,yes,DGLE,TML,DGLE,
2093,DGSI,large_airport,Prempeh I International Airport,6.71456,-1.59082,942,AF,GH,GH-AH,Kumasi,yes,DGSI,KMS,DGSI,
2094,DGSN,medium_airport,Sunyani Airport,7.36183,-2.32876,1014,AF,GH,GH-BO,Sunyani,yes,DGSN,NYI,DGSN,
2095,DGTK,medium_airport,Takoradi Airport,4.89605999,-1.774760008,21,AF,GH,GH-WP,Sekondi-Takoradi,yes,DGTK,TKD,DGTK,
2096,DIAP,large_airport,FÃ©lix-HouphouÃ«t-Boigny International Airport,5.26139,-3.92629,21,AF,CI,CI-AB,Abidjan,yes,DIAP,ABJ,DIAP,
2097,DIBK,medium_airport,BouakÃ© Airport,7.7388,-5.07367,1230,AF,CI,CI-VB,BouakÃ©,yes,DIBK,BYK,DIBK,
2098,DIDL,medium_airport,Daloa Airport,6.79281,-6.47319,823,AF,CI,CI-SM,,no,DIDL,DJO,DIDL,
2099,DIKO,medium_airport,Korhogo Airport,9.38718,-5.55666,1214,AF,CI,CI-SV,Korhogo,yes,DIKO,HGO,DIKO,
2100,DIMN,medium_airport,Man Airport,7.27207,-7.58736,1089,AF,CI,CI-MG,,no,DIMN,MJC,DIMN,
2101,DISP,medium_airport,San Pedro Airport,4.74672,-6.66082,26,AF,CI,CI-BS,,yes,DISP,SPY,DISP,
2102,DIYO,large_airport,Yamoussoukro International Airport,6.90317,-5.36558,699,AF,CI,CI-YM,Yamoussoukro,no,DIYO,ASK,DIYO,
4971,DN57,medium_airport,Umaru Musa Yar'adua Airport,13.0078,7.66045,1660,AF,NG,NG-KT,Katsina,yes,DNKT,DKA,DNKT,
2104,DNAA,large_airport,Nnamdi Azikiwe International Airport,9.00679,7.26317,1123,AF,NG,NG-FC,Abuja,yes,DNAA,ABV,DNAA,
309668,DNAI,medium_airport,Akwa Ibom International Airport,4.8725,8.093,170,AF,NG,NG-AK,Uyo,yes,DNAI,QUO,DNAI,
2105,DNAK,medium_airport,Akure Airport,7.246739864,5.301010132,1100,AF,NG,NG-ON,Akure,yes,DNAK,AKR,DNAK,
300781,DNAS,large_airport,Asaba International Airport,6.204167,6.665278,305,AF,NG,NG-DE,Asaba,yes,DNAS,ABB,DNAS,
323056,DNBC,large_airport,Sir Abubakar Tafawa Balewa Bauchi State International Airport,10.482833,9.744,1965,AF,NG,NG-BA,Bauchi,yes,DNBC,BCU,DNBC,
2106,DNBE,medium_airport,Benin Airport,6.316979885,5.599500179,258,AF,NG,NG-ED,Benin,yes,DNBE,BNI,DNBE,
2107,DNCA,medium_airport,Margaret Ekpo International Airport,4.976019859,8.347200394,210,AF,NG,NG-CR,Calabar,yes,DNCA,CBQ,DNCA,
2108,DNEN,large_airport,Akanu Ibiam International Airport,6.473718,7.560463,466,AF,NG,NG-EN,Enegu,yes,DNEN,ENU,DNEN,
44578,DNGO,medium_airport,Gombe Lawanti International Airport,10.298889,10.9,1590,AF,NG,NG-GO,Gombe,yes,DNGO,GMO,DNGO,
2110,DNIB,medium_airport,Ibadan Airport,7.362460136,3.978329897,725,AF,NG,NG-OY,Ibadan,yes,DNIB,IBA,DNIB,
2111,DNIL,large_airport,General Tunde Idiagbon International Airport,8.44021,4.49392,1126,AF,NG,NG-KW,Ilorin/Ogbomosho,yes,DNIL,ILR,DNIL,
2112,DNIM,medium_airport,Sam Mbakwe International Cargo Airport,5.42706,7.20603,373,AF,NG,NG-IM,Owerri,yes,DNIM,QOW,DNIM,
2113,DNJO,medium_airport,Yakubu Gowon Airport,9.639829636,8.869050026,4232,AF,NG,NG-PL,Jos,yes,DNJO,JOS,DNJO,
2114,DNKA,large_airport,Kaduna International Airport,10.696,7.32011,2073,AF,NG,NG-KD,Kaduna,yes,DNKA,KAD,DNKA,
2115,DNKN,large_airport,Mallam Aminu Kano International Airport,12.045613,8.523566,1562,AF,NG,NG-KN,Kano,yes,DNKN,KAN,DNKN,
2116,DNMA,large_airport,Maiduguri International Airport,11.854163,13.080702,1099,AF,NG,NG-BO,Maiduguri,yes,DNMA,MIU,DNMA,
2117,DNMK,medium_airport,Makurdi Airport,7.70388,8.61394,371,AF,NG,NG-BE,Makurdi,yes,DNMK,MDI,DNMK,
2118,DNMM,large_airport,Murtala Muhammed International Airport,6.57737,3.32116,135,AF,NG,NG-LA,Lagos,yes,DNMM,LOS,DNMM,
2119,DNMN,medium_airport,Minna Airport,9.652170181,6.462259769,834,AF,NG,NG-NI,Minna,no,DNMN,MXJ,DNMN,
2120,DNPO,large_airport,Port Harcourt International Airport,5.01549,6.94959,87,AF,NG,NG-RI,Port Harcourt,yes,DNPO,PHC,DNPO,
